Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
Sessegnon	Fulham	0	0	1	0	6.5	0.9000000000000001	1.4425650245606338	1.3782752405951697	0.6974875185448316	1.581050867912286	Spurs	Burnley	Brighton	Man City	Watford		8.4
Peltier	Cardiff	0	1	0	0	4.0	0.7999999999999999	0.7823287649948888	0.6682873699132491	0.5338036890390588	0.4452344133259042	Newcastle	Huddersfield	Arsenal	Chelsea	Man City		4.1
Tomkins	Crystal Palace	0	1	0	0	4.5	0.7999999999999999	0.9387089972329979	1.1187924326331524	1.034142157694926	1.057501351316599	Liverpool	Watford	Southampton	Huddersfield	Newcastle		8.3
Oriol Romeu	Southampton	0	0	1	0	4.5	0.8	0.8703655177751812	0.7842916561865503	1.0256154779041948	0.5917882323379731	Everton	Leicester	Crystal Palace	Brighton	Liverpool		3.0
Bennett	Wolves	0	1	0	0	4.0	0.8	0.5687251157461006	0.8786978475890818	0.9866709015276812	0.6367938473802359	Leicester	Man City	West Ham	Burnley	Man Utd		6.0
Schürrle	Fulham	0	0	1	0	6.0	0.7000000000000001	1.121995019102715	1.071991853796243	0.5424902922015356	1.2297062305984447	Spurs	Burnley	Brighton	Man City	Watford		5.6
Mitrovic	Fulham	0	0	0	1	6.5	0.49999999999999994	0.8014250136447963	0.7657084669973163	0.3874930658582397	0.8783615932846032	Spurs	Burnley	Brighton	Man City	Watford		5.8
Mooy	Huddersfield	0	0	1	0	5.5	0.5	1.2510747713012131	0.9187640311704608	1.073793171200593	0.8384682635202345	Man City	Cardiff	Everton	Crystal Palace	Leicester		3.5
Wan-Bissaka	Crystal Palace	0	1	0	0	4.1	0.39999999999999997	0.46935449861649897	0.5593962163165762	0.517071078847463	0.5287506756582995	Liverpool	Watford	Southampton	Huddersfield	Newcastle		20.9
Stephens	Brighton	0	0	1	0	4.5	0.30000000000000004	0.2562577633697663	0.4369195048302399	0.35837405807698947	0.29000255722318735	Man Utd	Liverpool	Fulham	Southampton	Spurs		10.3
Schindler	Huddersfield	0	1	0	0	4.5	0.30000000000000004	0.7506448627807278	0.5512584187022764	0.6442759027203557	0.5030809581121407	Man City	Cardiff	Everton	Crystal Palace	Leicester		3.0
Boruc	Bournemouth	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0	West Ham	Everton	Chelsea	Leicester	Burnley		7.2
Simpson	Bournemouth	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0	West Ham	Everton	Chelsea	Leicester	Burnley		5.6
Suttner	Brighton	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Man Utd	Liverpool	Fulham	Southampton	Spurs		8.0
Giroud	Chelsea	0	0	0	1	8.0	0.0	0.0	0.0	0.0	0.0	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		3.5
Speroni	Crystal Palace	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Liverpool	Watford	Southampton	Huddersfield	Newcastle		14.3
Kelly	Crystal Palace	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Liverpool	Watford	Southampton	Huddersfield	Newcastle		7.6
Stekelenburg	Everton	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Southampton	Bournemouth	Huddersfield	West Ham	Arsenal		4.7
Zanka	Huddersfield	0	1	0	0	4.5	0.0	0.0	0.0	0.0	0.0	Man City	Cardiff	Everton	Crystal Palace	Leicester	Muscle injury - Expected back 25 Aug	8.6
Malone	Huddersfield	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Man City	Cardiff	Everton	Crystal Palace	Leicester	Transferred to Derby County	3.9
Quaner	Huddersfield	0	0	0	1	4.5	0.0	0.0	0.0	0.0	0.0	Man City	Cardiff	Everton	Crystal Palace	Leicester		5.3
Lovren	Liverpool	0	1	0	0	5.0	0.0	0.0	0.0	0.0	0.0	Crystal Palace	Brighton	Leicester	Spurs	Southampton	Pelvic - Expected back 01 Sep	4.4
Otamendi	Man City	0	1	0	0	6.5	0.0	0.0	0.0	0.0	0.0	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		7.4
David Silva	Man City	0	0	1	0	8.5	0.0	0.0	0.0	0.0	0.0	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		4.0
De Bruyne	Man City	0	0	1	0	9.9	0.0	0.0	0.0	0.0	0.0	Huddersfield	Wolves	Newcastle	Fulham	Cardiff	Knee injury - Expected back 17 Nov	14.5
Lingard	Man Utd	0	0	1	0	7.0	0.0	0.0	0.0	0.0	0.0	Brighton	Spurs	Burnley	Watford	Wolves	Lack of match fitness - 75% chance of playing	4.3
Bednarek	Southampton	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0	Everton	Leicester	Crystal Palace	Brighton	Liverpool		5.0
Alderweireld	Spurs	0	1	0	0	6.0	0.0	0.0	0.0	0.0	0.0	Fulham	Man Utd	Watford	Liverpool	Brighton		3.0
Trippier	Spurs	0	1	0	0	6.0	0.0	0.0	0.0	0.0	0.0	Fulham	Man Utd	Watford	Liverpool	Brighton		22.5
Son	Spurs	0	0	1	0	8.4	0.0	0.0	0.0	0.0	0.0	Fulham	Man Utd	Watford	Liverpool	Brighton	Has departed for the Asian Games with South Korea. - Unknown return date	3.6
Zabaleta	West Ham	0	1	0	0	4.5	0.0	0.0	0.0	0.0	0.0	Bournemouth	Arsenal	Wolves	Everton	Chelsea		3.3
Hamer	Huddersfield	1	0	0	0	4.0	-0.30000000000000004	-0.7506448627807278	-0.5512584187022764	-0.6442759027203557	-0.5030809581121407	Man City	Cardiff	Everton	Crystal Palace	Leicester		4.0
Kamara	Fulham	0	0	0	1	4.5	-0.4	-0.6411400109158372	-0.6125667735978532	-0.30999445268659176	-0.7026892746276826	Spurs	Burnley	Brighton	Man City	Watford		10.7
